Gene,Average Log FC,p value,Adjusted                p value ,Cluster
AT3G62680,3.57,2.8486E-231,5.2751E-227,10
AT4G40090,3.55,1.49E-273,2.7591E-269,10
AT3G54580,3.55,0,0,10
AT5G17820,3.41,0,0,10
AT5G05500,3.31,1.9278E-302,3.5699E-298,10
AT3G28550,3.12,2.935E-308,5.435E-304,10
AT1G23720,3.07,2.4077E-295,4.4587E-291,10
AT3G09925,3.03,2.08321199491004e-310,3.8577E-306,10
AT4G17340,3.00,8.0573E-239,1.492E-234,10
AT3G54590,2.97,1.6788E-255,3.1088E-251,10
AT1G30870,2.93,4.1076E-259,7.6065E-255,10
AT5G57625,2.92,2.0073E-159,3.717E-155,10
AT1G12560,2.85,1.3153E-237,2.4357E-233,10
AT5G14330,2.76,1.7958E-300,3.3255E-296,10
AT4G26010,2.66,2.7428E-139,5.0792E-135,10
AT2G47540,2.66,3.4095E-289,6.3137E-285,10
AT1G62980,2.63,2.71E-211,5.0184E-207,10
AT4G25820,2.63,2.5977E-154,4.8103E-150,10
AT4G00680,2.59,2.0827E-227,3.8567E-223,10
AT1G01750,2.58,0,0,10
AT4G09990,2.45,7.4628E-278,1.382E-273,10
AT4G02270,2.37,2.5948E-124,4.8051E-120,10
AT5G47450,2.28,1.6866E-166,3.1233E-162,10
AT4G22666,2.28,6.6682E-192,1.2348E-187,10
AT5G46900,2.27,3.5836E-204,6.6361E-200,10
AT4G30460,2.25,5.9687E-120,1.1053E-115,10
AT3G43960,2.22,2.5699E-264,4.759E-260,10
AT5G67400,2.21,1.7246E-152,3.1936E-148,10
AT5G60660,2.17,5.1599E-210,9.555E-206,10
AT5G04960,2.17,1.1413E-152,2.1134E-148,10
AT1G22530,2.15,6.3755E-156,1.1806E-151,10
AT5G40730,2.09,1.0093E-180,1.869E-176,10
AT1G48930,2.08,9.8118E-187,1.8169E-182,10
AT3G01190,2.03,1.1845E-149,2.1934E-145,10
AT4G12510,2.03,4.883E-140,9.0423E-136,10
AT2G47360,2.02,2.6829E-236,4.9683E-232,10
AT3G61430,1.99,4.5272E-185,8.3835E-181,10
AT4G12550,1.94,1.6564E-141,3.0673E-137,10
AT1G33800,1.92,5.1944E-224,9.6189E-220,10
AT5G44610,1.92,3.3649E-130,6.2312E-126,10
AT5G35190,1.91,2.6937E-151,4.9882E-147,10
AT3G49960,1.90,6.0597E-165,1.1221E-160,10
AT5G24880,1.90,4.4754E-168,8.2876E-164,10
AT2G36830,1.90,4.6596E-182,8.6287E-178,10
AT5G15600,1.89,5.1949E-294,9.6199E-290,10
AT2G03720,1.87,6.9022E-162,1.2781E-157,10
AT4G30670,1.87,3.3406E-120,6.1861E-116,10
AT5G58010,1.85,1.1566E-205,2.1418E-201,10
AT5G64100,1.82,3.5842E-152,6.6373E-148,10
AT5G42510,1.82,2.6118E-216,4.8365E-212,10
AT5G23750,1.80,6.4056E-154,1.1862E-149,10
AT5G46890,1.77,1.8909E-131,3.5016E-127,10
AT1G12040,1.77,1.5844E-195,2.934E-191,10
AT2G45890,1.75,2.6968E-206,4.9939E-202,10
AT2G45750,1.74,7.9706E-198,1.476E-193,10
AT3G26520,1.74,6.2635E-173,1.1599E-168,10
AT3G23190,1.72,6.1065E-195,1.1308E-190,10
AT2G41970,1.71,1.4456E-202,2.677E-198,10
AT4G37070,1.67,1.5374E-182,2.8469E-178,10
AT5G49270,1.66,1.0456E-213,1.9362E-209,10
AT3G61560,1.64,3.7796E-239,6.9991E-235,10
AT2G30930,1.64,1.1219E-105,2.0776E-101,10
AT1G73580,1.64,1.4575E-185,2.699E-181,10
AT5G43350,1.64,4.6326E-155,8.5786E-151,10
AT1G58270,1.63,8.7785E-129,1.6256E-124,10
AT3G05490,1.61,3.0793E-175,5.7023E-171,10
AT1G27740,1.60,5.7859E-190,1.0714E-185,10
AT3G05920,1.59,7.588E-163,1.4052E-158,10
AT2G17720,1.58,9.671E-191,1.7909E-186,10
AT3G60280,1.58,1.5882E-168,2.941E-164,10
AT1G08340,1.58,2.7241E-102,5.0445E-98,10
AT3G07070,1.57,5.7084E-190,1.0571E-185,10
AT1G54970,1.54,3.813E-101,7.06089E-97,10
AT5G19800,1.54,6.8245E-172,1.2638E-167,10
AT3G01720,1.51,1.6067E-214,2.9754E-210,10
AT1G11910,1.49,9.0542E-204,1.6767E-199,10
AT2G25810,1.48,8.8918E-107,1.6466E-102,10
AT2G24980,1.48,3.1235E-112,5.7842E-108,10
AT2G21045,1.45,1.2386E-113,2.2937E-109,10
AT4G17100,1.45,1.4937E-212,2.7661E-208,10
AT1G62660,1.45,2.3557E-144,4.3624E-140,10
AT4G13390,1.44,6.564E-124,1.2155E-119,10
AT3G07880,1.44,1.6671E-224,3.0871E-220,10
AT3G51330,1.42,3.3864E-185,6.2709E-181,10
AT4G33730,1.42,8.807E-152,1.6309E-147,10
AT4G18430,1.42,3.3565E-175,6.2156E-171,10
AT2G47650,1.41,4.5008E-184,8.3345E-180,10
AT3G54040,1.41,4.63187E-92,8.57729E-88,10
AT5G55050,1.40,6.8346E-172,1.2656E-167,10
AT1G30900,1.40,1.1002E-134,2.0373E-130,10
AT3G20410,1.39,3.1862E-214,5.9001E-210,10
AT1G04040,1.38,1.66953E-65,3.09163E-61,10
AT1G04280,1.38,1.5789E-149,2.9239E-145,10
AT4G30190,1.38,1.5022E-123,2.7818E-119,10
AT2G32270,1.35,1.7431E-174,3.2279E-170,10
AT5G27150,1.35,2.9614E-172,5.4838E-168,10
AT3G51160,1.35,1.6528E-173,3.0606E-169,10
AT5G13500,1.34,2.1433E-190,3.969E-186,10
AT1G67330,1.34,7.3711E-107,1.365E-102,10
AT5G65930,1.34,4.9551E-201,9.1758E-197,10
AT5G40860,1.33,5.255E-162,9.7312E-158,10
AT2G29750,1.33,1.739E-162,3.2204E-158,10
AT4G12545,1.32,2.1258E-105,3.9366E-101,10
AT1G52660,1.31,3.4924E-171,6.4672E-167,10
AT2G37170,1.30,7.6063E-108,1.4085E-103,10
AT5G63600,1.30,5.55664E-70,1.02898E-65,10
AT4G29180,1.29,5.7548E-195,1.0657E-190,10
AT2G15970,1.29,2.574E-109,4.7666E-105,10
AT3G18780,1.29,9.1443E-125,1.6933E-120,10
AT5G44480,1.29,6.4149E-165,1.1879E-160,10
AT1G08990,1.29,1.0364E-188,1.9192E-184,10
AT2G21880,1.28,2.5315E-132,4.6879E-128,10
AT3G23175,1.28,5.5843E-131,1.0341E-126,10
AT5G15890,1.27,1.0153E-174,1.8801E-170,10
AT2G22970,1.26,9.2501E-127,1.7129E-122,10
AT4G25790,1.25,4.98259E-95,9.22676E-91,10
AT4G23400,1.25,1.7318E-105,3.2069E-101,10
AT2G19760,1.23,4.41699E-94,8.17938E-90,10
