Gene,Average Log FC,p value,Adjusted                p value ,Subluster
AT1G11580,1.70,4.67286E-24,6.17378E-20,1
AT2G30860,1.45,1.17134E-27,1.54758E-23,1
AT3G23830,1.29,1.00378E-27,1.3262E-23,1
AT4G09030,1.29,7.67426E-14,1.01392E-09,1
AT4G16141,1.26,6.34436E-25,8.38217E-21,1
AT5G23830,1.24,1.59288E-21,2.10452E-17,1
AT5G22440,1.15,3.7133E-27,4.90601E-23,1
AT2G22330,1.09,6.51681E-09,8.61E-05,1
AT2G37190,1.07,2.10166E-32,2.77672E-28,1
AT3G15240,1.07,3.78577E-22,5.00176E-18,1
AT2G09990,1.06,8.71838E-27,1.15187E-22,1
AT5G55160,1.05,2.54849E-21,3.36707E-17,1
AT5G08180,1.05,1.07682E-23,1.4227E-19,1
AT4G36130,1.04,1.24024E-24,1.63861E-20,1
AT2G20490,1.04,9.2974E-23,1.22837E-18,1
AT3G57010,1.03,1.42408E-15,1.8815E-11,1
AT5G18380,1.01,3.80771E-47,5.03075E-43,1
AT4G10450,1.01,2.87642E-21,3.80033E-17,1
AT3G57150,1.01,2.57982E-21,3.40846E-17,1
AT5G28060,1.00,1.11313E-27,1.47067E-23,1
AT5G02450,1.00,8.05615E-38,1.06438E-33,1
AT3G49910,0.99,1.1559E-37,1.52717E-33,1
AT5G15950,0.99,1.04573E-11,1.38162E-07,1
AT3G02080,0.99,7.75567E-32,1.02468E-27,1
AT5G07090,0.99,1.63117E-30,2.1551E-26,1
AT1G15930,0.99,1.67339E-33,2.21088E-29,1
AT3G30350,0.99,2.28933E-19,3.02466E-15,1
AT5G14750,0.98,4.83809E-19,6.39208E-15,1
AT3G22230,0.98,1.33175E-32,1.7595E-28,1
AT3G03920,0.98,3.46798E-21,4.5819E-17,1
AT1G69620,0.97,3.39559E-35,4.48626E-31,1
AT4G17390,0.96,1.03609E-27,1.36889E-23,1
AT2G36160,0.95,4.21522E-30,5.56914E-26,1
AT3G56070,0.95,9.04771E-17,1.19538E-12,1
AT3G02560,0.95,7.62122E-22,1.00692E-17,1
AT4G29410,0.94,8.23065E-26,1.08743E-21,1
AT4G31500,0.94,1.00689E-12,1.3303E-08,1
AT3G44750,0.93,4.78158E-12,6.31743E-08,1
AT1G76090,0.92,4.001E-14,5.28612E-10,1
AT4G25630,0.92,6.94388E-14,9.17426E-10,1
AT4G00100,0.91,6.7433E-33,8.90925E-29,1
AT2G33370,0.91,3.56749E-23,4.71336E-19,1
AT4G12600,0.91,1.79719E-13,2.37445E-09,1
AT5G62300,0.90,1.24308E-33,1.64236E-29,1
AT5G20290,0.90,8.69039E-42,1.14817E-37,1
AT1G48630,0.89,2.47364E-21,3.26817E-17,1
AT2G27720,0.89,4.57138E-32,6.0397E-28,1
AT4G15000,0.89,4.68199E-33,6.18584E-29,1
