Columella,QC,Cortex,Endodermis,Pericycle,Protophloem,Phloem,Protoxylem,Meri. Xylem,Atrichoblast,Trichoblast,,,
AT2G33230,AT1G68640,AT1G05570,AT1G30750,AT1G74430,AT1G14730,AT1G11570,AT1G04540,AT1G80100,AT4G00730,AT1G03550,,,
AT3G10320,AT3G26120,AT1G15460,AT1G60690,AT3G24310,AT5G40260,AT1G69580,AT1G04760,AT4G37650,AT5G66800,AT1G45545,,,
AT4G18350,AT5G23780,AT1G62510,AT1G61590,AT4G28250,AT5G57130,AT1G69970,AT1G06020,AT1G29950,AT1G68560,AT1G48930,,,
AT5G22550,AT5G17430,AT3G12700,AT1G71740,AT5G25920,AT5G62940,AT2G41200,AT1G07120,AT4G02750,AT1G31950,AT1G69240,,,
AT1G26680,AT2G03830,AT3G14850,AT2G21100,AT4G29770,AT1G15080,AT3G47180,AT1G09610,AT4G12620,AT4G25250,AT2G46380,,,
AT2G18230,AT2G23050,AT5G03570,AT2G27370,AT1G58025,AT3G01680,AT4G04620,AT1G09890,AT1G74150,AT1G79840,AT3G51410,,,
AT3G18230,AT1G30530,AT5G44130,AT2G30210,AT4G34650,AT4G13600,AT4G16400,AT1G10800,AT5G08260,AT5G19750,AT3G60630,,,
AT3G28540,AT5G25900,AT5G53370,AT2G39430,AT5G06080,AT5G67460,AT5G01480,AT1G12450,AT5G63140,AT4G00360,AT4G04930,,,
AT3G52890,AT5G45780,AT5G55250,AT2G40160,AT1G52400,AT5G22870,AT5G04680,AT1G14190,AT2G25060,,AT1G13950,,,
AT3G55180,AT1G11420,AT1G64380,AT2G48130,AT2G19900,AT1G54330,AT5G16610,AT1G16520,AT3G14730,,AT2G03220,,,
AT5G07550,AT3G13510,AT5G48000,AT3G11550,AT5G24240,AT1G60030,AT5G53030,AT1G17950,AT3G22790,,AT4G07960,,,
AT3G29810,AT3G30350,AT3G21670,AT3G22620,AT3G06020,AT3G17730,AT1G02950,AT1G19230,AT1G29940,,AT4G25160,,,
AT5G48300,AT1G16070,AT1G30380,AT4G02090,AT3G29635,AT4G17910,AT1G05610,AT1G20720,AT5G06210,,AT5G07450,,,
AT5G64860,AT1G75580,AT1G52410,AT4G17215,AT4G17760,AT4G36620,AT1G05770,AT1G21780,AT3G61100,,AT5G65160,,,
AT3G44240,,AT3G26300,AT5G06200,,AT4G03270,AT1G10360,AT1G26570,AT2G13540,,AT4G09500,,,
AT3G62320,,AT4G00700,AT5G42180,,AT1G06490,AT1G13920,AT1G27920,AT3G53190,,AT3G46270,,,
AT5G48130,,AT3G56080,AT5G66390,,AT1G11915,,AT1G29200,AT5G37010,,AT4G16920,,,
AT1G04600,,AT5G27350,AT1G01120,,AT1G13050,,AT1G48280,AT5G25475,,AT1G07795,,,
AT5G58580,,,AT2G14900,,AT1G31335,,AT1G51640,AT3G54090,,,,,
,,,,,AT1G33480,,,AT3G20430,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
