"","Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12","Cluster13","Cluster14","Cluster15","Cluster16","Cluster17","Cluster18","Cluster19","Cluster20","Cluster21","Cluster22"
"1","AT3G15370","AT1G50060","AT4G16447","AT5G23030","AT5G43180","AT1G25530","AT2G18800","AT1G30750","AT4G28850",NA,"AT5G11440","AT1G12845","AT5G02640","AT5G57980","AT1G57590","AT5G57785","AT2G45220","AT4G34970","AT5G04080","AT1G26450","AT1G57820","AT5G19870","AT1G19900"
"2","AT1G06120","AT1G54010","AT3G04520","AT4G22080","AT5G46590","AT3G48185","AT3G26610","AT2G40113","AT2G24980","AT3G04520","AT1G27140","AT1G70370","AT3G51030","AT3G18130","AT5G51500","AT3G13610","AT1G56010","AT1G04610","AT2G32275","AT4G23410","AT2G28720","AT1G09440","AT1G67910"
"3","AT4G28940","AT3G04330","AT2G48130","AT5G61650","AT1G16310","AT4G14650","AT5G44530","AT5G42180","AT2G20520","AT2G33530","AT1G33090","AT5G18840","AT1G68810","AT1G23100","AT1G54890","AT4G21780","AT3G02240","AT1G65620","AT1G79430","AT3G14780","AT5G65350","AT1G71300","AT1G10550"
"4","AT2G37260","AT1G52050","AT5G23920","AT2G38790","AT5G49620","AT1G69080","AT5G16570","AT3G55230","AT5G06640","AT4G16447","AT4G22217","AT1G76470","AT5G60490","AT1G23410","AT2G37260","AT3G55290","AT2G34810","AT2G04025","AT1G54575","AT2G31083","AT1G01370","AT1G73140","AT5G10770"
"5","AT3G26740","AT1G52060","AT1G22490","AT2G03720","AT5G47720","AT1G61660","AT4G20210","AT3G11550","AT1G34510","AT5G45210","AT3G09330","AT2G38300","AT5G03170","AT3G44750","AT5G44585","AT5G10770","AT5G01250","AT4G36930","AT5G02600","AT4G18340","AT3G46320","AT4G28500","AT4G33790"
"6","AT5G25440","AT5G60530","AT3G45080","AT1G02570","AT1G80050","AT1G52190","AT1G27660","AT5G66390","AT4G25220","AT5G38790","AT2G34940","AT4G30420","AT4G36160","AT5G02050","AT1G53130","AT3G11260","AT5G48290","AT4G27520","AT3G15650","AT5G37660","AT5G38790","AT1G05310","AT1G23110"
"7","AT1G25450","AT5G24070","AT5G14920","AT3G12540","AT3G11150","AT4G09160","AT5G44160","AT3G24020","AT3G60280","AT1G65900","AT3G46490","AT5G38550","AT1G79620","AT1G27140","AT1G67400","AT3G22235","AT5G56870","AT1G56680","AT5G57350","AT3G15680","AT4G39380","AT5G38310","AT2G40610"
"8","AT3G22060","AT5G55110","AT3G48350","AT1G73860","AT2G18800","AT1G79760","AT4G16980","AT4G13580","AT5G35190","AT3G23730","AT5G15890","AT1G09750","AT2G04850","AT1G52930","AT2G43880","AT2G27920","AT1G61560","AT5G15160","AT5G27690","AT1G07640","AT2G33530","AT1G47410","AT3G19320"
"9","AT2G39010","AT4G37160","AT5G42655","AT4G29180","AT3G46110","AT3G51030","AT2G22420","AT4G17215","AT1G11655","AT4G14040","AT1G24735","AT1G64920","AT5G66300","AT2G31060","AT1G27950","AT5G38550","AT3G10320","AT1G72490","AT2G15310","AT3G43270","AT5G05180","AT5G03510","AT4G15290"
"10","AT4G02650","AT3G59480","AT1G10360","AT1G31750","AT3G11280","AT5G48070","AT2G31085","AT5G65530","AT5G44130","AT2G16750","AT1G24620","AT1G62510","AT2G47670","AT1G14060","AT5G06270","AT4G13860","AT5G64120","AT2G38810","AT5G42146","AT5G23370","AT3G59620","AT1G27440","AT2G31540"
