"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"AT3G22600",0,2.53250381910024,0.997,0.364,0
"SOT5",0,2.30723231448858,0.982,0.353,0
"PER3",0,2.26650101760987,1,0.395,0
"GASA7",0,2.1638869401606,0.998,0.212,0
"AT3G22620",0,2.1333231601141,0.977,0.173,0
"RALF1",0,2.01037262054223,0.998,0.271,0
"AT5G20820",0,1.9669347851333,0.927,0.304,0
"AtMYB74",0,1.89843975416865,0.997,0.276,0
"PER39",0,1.85058111631208,1,0.246,0
"PER32",0,1.84742485839464,0.998,0.159,0
"MYB36",0,1.5789221997108,0.947,0.12,0
"AT4",0,1.53385436254455,0.968,0.235,0
"NAC029",0,1.51744211196907,0.967,0.232,0
"AT4G22110",0,1.40559612740165,0.945,0.142,0
"PEP6",0,1.20460379713138,0.867,0.114,0
"ADF5",0,1.17520983062775,0.947,0.233,0
"UCC1",0,1.14026445201942,0.937,0.172,0
"AT1G61590",0,1.13015512272955,0.945,0.116,0
"RBOHB",1.95742386028906e-318,1.00397015959055,0.925,0.179,3.90310317741638e-314
"AT4G29700",1.18387894963887e-313,1.15104445758028,0.877,0.17,2.36065462557991e-309
"CYSD2",2.52957509895577e-309,1.2130022923481,0.958,0.284,5.0439727473178e-305
"AT1G62370",4.36857474686163e-309,1.16548176056305,0.938,0.361,8.71093804524209e-305
"UGT76E2",1.63254609361656e-307,1.38717575882218,0.752,0.121,3.25529691067143e-303
"NUDT8",8.15083122931609e-290,1.20681135814589,0.822,0.178,1.62527574712563e-285
"AT4G16447",8.80984126453737e-279,1.21884432349995,0.732,0.085,1.75668234814875e-274
"ATHB-12",2.71608596340727e-272,1.36832318095627,0.933,0.347,5.41587541103409e-268
"PIP2-3",5.14059859748182e-268,1.28033967458183,0.948,0.34,1.02503536033787e-263
"AT3G22240",2.34853487633601e-265,1.17922536798029,0.887,0.208,4.682978543414e-261
"THA2",4.96186526012371e-257,0.730955589755825,0.676,0.08,9.89395932868667e-253
"AT5G43910",5.52999494858837e-248,0.957777026075198,0.894,0.377,1.10268099274852e-243
"AT1G17300",6.2827566744053e-245,0.842803637037479,0.834,0.181,1.25278168087642e-240
"AT1G11210",4.93739311218361e-241,1.22261804597979,0.862,0.321,9.84516186569412e-237
"MLP165",6.95827902996705e-239,0.915504650375986,0.809,0.16,1.38748083857543e-234
"SCPL1",7.45195156100966e-235,1.14784444037503,0.91,0.284,1.48591914126533e-230
"AT1G72940",7.57455495598825e-229,1.12191555521932,0.82,0.206,1.51036625822406e-224
"AT2G48130",1.60123371178316e-228,0.794187181037365,0.561,0.045,3.19286002129562e-224
