Accession,STD Annot.,Lab Annot.,Curated Loc.,TAIR Loc.
AT1G01080.1,"RNA-binding (RRM/RBD/RNP motifs) family protein; FUNCTIONS IN: RNA binding, nucleotide binding, nucleic acid binding; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast stroma, nucleus, chloroplast, chloroplast envelope; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: RNA recognition motif, RNP-1 (InterPro:IPR000504), Nucleotide-binding, alpha-beta plait (InterPro:IPR012677); BEST Arabidopsis thaliana protein match is: RNA-binding (RRM/RBD/RNP motifs) family protein (TAIR:AT1G60000.1); Has 509067 Blast hits to 499893 proteins in 22124 species: Archae - 10819; Bacteria - 303967; Metazoa - 99035; Fungi - 14863; Plants - 31737; Viruses - 35534; Other Eukaryotes - 13112 (source: NCBI BLink).",RNA-binding protein cp33,plastid stroma,
AT1G01080.2,"RNA-binding (RRM/RBD/RNP motifs) family protein; FUNCTIONS IN: RNA binding, nucleotide binding, nucleic acid binding; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: RNA recognition motif, RNP-1 (InterPro:IPR000504), Nucleotide-binding, alpha-beta plait (InterPro:IPR012677); BEST Arabidopsis thaliana protein match is: RNA-binding (RRM/RBD/RNP motifs) family protein (TAIR:AT1G60000.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",RNA-binding protein cp33,plastid stroma,
AT1G01090.1,pyruvate dehydrogenase E1 alpha ,Plastidial Pyruvate Dehydrogenase E1alpha subunit,envelope-inner-peripheral-stromal-side,
AT1G01790.1,K+ efflux antiporter 1 ,"K+ efflux antiporter, putitive (KEA1)",envelope-inner-integral,cellular component unknown
AT1G02150.1,Tetratricopeptide repeat (TPR)-like superfamily protein ,pentatricopeptide repeat (PPR) protein,plastid,
AT1G02280.1,Encodes a GTP-binding GTP-ase. Component of the chloroplast protein import machinery. Required for import of POR B into plastids. Toc33 phosphorylation may not play an important role in vivo.,Toc33,envelope-outer-integral,chloroplast outer membrane
AT1G02280.2,Encodes a GTP-binding GTP-ase. Component of the chloroplast protein import machinery. Required for import of POR B into plastids. Toc33 phosphorylation may not play an important role in vivo.,Toc33,envelope-outer-integral,
AT1G02560.1,nuclear encoded CLP protease 5 ,ClpP5  (P-ring),plastid stroma,chloroplastic endopeptidase Clp complex & chloroplast stroma & thylakoid (sensu Viridiplantae)
AT1G02910.1,tetratricopeptide repeat (TPR)-containing protein ,LPA1 - PSII assembly factor,thylakoid-integral,
AT1G03030.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,phosphoribulokinase/uridine kinase family,plastid stroma,
AT1G03130.1,photosystem I subunit D-2 ,psaD-1 subunit II - stromal side-tight,thylakoid-peripheral-stromal-side,thylakoid membrane (sensu Viridiplantae)
AT1G03160.1,FZO-like ,FZL - FZO-like dynamin ,thylakoid-integral; envelope-inner-integral,chloroplast membrane
AT1G03160.2,FZO-like ,FZL - FZO-like dynamin ,thylakoid-integral; envelope-inner-integral,
AT1G03310.1,Encodes a protein with strong similarity to isoamylase (EC:3.2.1.68) however lacks critical residues known to be important for activity. Appears to co localize with ISA1 in the chloroplast isoamylase complex.  Mutations in this gene cause the loss of detectable isoamylase activity and the disruption of normal starch structure. It has been postulated that AtISA2 interacts with AtISA1 to form the Iso1 complex.,isoamylase 2 (lSA2 or DBE1) ,plastid,
AT1G03310.2,debranching enzyme 1 ,isoamylase 2 (lSA2 or DBE1) ,plastid,
AT1G03475.1,Coproporphyrinogen III oxidase ,coproporphyrinogen III oxidase,plastid stroma,plastid
AT1G03600.1,photosystem II family protein ,Lumen PSB27,thylakoid-peripheral-lumenal-side,thylakoid membrane (sensu Viridiplantae) & thylakoid lumen (sensu Viridiplantae)
AT1G03630.1,Encodes for a protein with protochlorophyllide oxidoreductase activity. The enzyme is NADPH- and light-dependent.,PORC- ~constitutive expression,thylakoid-peripheral-stromal-side,thylakoid membrane (sensu Viridiplantae)
AT1G03630.2,Encodes for a protein with protochlorophyllide oxidoreductase activity. The enzyme is NADPH- and light-dependent.,PORC- ~constitutive expression,thylakoid-peripheral-stromal-side,thylakoid membrane (sensu Viridiplantae)
AT1G03680.1,encodes a chloroplast thioredoxin similar to prokaryotic thioredoxins.,thioredoxin m1,thylakoid-peripheral-stromal-side,
AT1G04420.1,NAD(P)-linked oxidoreductase superfamily protein ,aldo/keto reductase family protein,plastid stroma,
AT1G04620.1,"coenzyme F420 hydrogenase family / dehydrogenase, beta subunit family ",7-hydroxymethyl chl a reductase (HMCR or HCAR),plastid,
AT1G05140.1,"Peptidase M50 family protein; FUNCTIONS IN: metalloendopeptidase activity; INVOLVED IN: proteolysis; LOCATED IN: chloroplast, plastid; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Peptidase M50 (InterPro:IPR008915), PDZ/DHR/GLGF (InterPro:IPR001478), Peptidase M50, putative membrane-associated zinc metallopeptidase (InterPro:IPR004387); BEST Arabidopsis thaliana protein match is: ARABIDOPSIS SERIN PROTEASE (TAIR:AT2G32480.1); Has 10190 Blast hits to 7652 proteins in 2240 species: Archae - 41; Bacteria - 6892; Metazoa - 13; Fungi - 4; Plants - 72; Viruses - 0; Other Eukaryotes - 3168 (source: NCBI BLink).",membrane zinc metalloprotease (RIP),plastid,
AT1G05190.1,Ribosomal protein L6 family ,50S ribosomal protein L6,plastid ribosome,
AT1G05385.1,photosystem II 11 kDa protein-related ,Psb27 homologue LPA19,thylakoid-peripheral-lumenal-side,
AT1G06130.1,"glyoxalase 2-4 (GLX2-4); FUNCTIONS IN: hydrolase activity, zinc ion binding, hydroxyacylglutathione hydrolase activity; INVOLVED IN: methylglyoxal catabolic process to D-lactate; LOCATED IN: chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Beta-lactamase-like (InterPro:IPR001279), Hydroxyacylglutathione hydrolase (InterPro:IPR017782); BEST Arabidopsis thaliana protein match is: glyoxalase 2-5 (TAIR:AT2G31350.1); Has 15456 Blast hits to 15455 proteins in 2500 species: Archae - 395; Bacteria - 9969; Metazoa - 478; Fungi - 329; Plants - 213; Viruses - 0; Other Eukaryotes - 4072 (source: NCBI BLink).","hydroxyacylglutathione hydrolase, putative / glyoxalase II",plastid stroma,
AT1G06130.2,glyoxalase 2-4 ,"hydroxyacylglutathione hydrolase, putative / glyoxalase II",plastid stroma,
AT1G06190.1,Rho termination factor ,RHON1 - RNAseE interactor,plastid nucleoid,
AT1G06190.2,Encodes a  novel ribonucleic acid-binding protein that interacts with the endonuclease RNase E and supports its function in processing plastid ribonucleic acids.,RHON1 - RNAseE interactor,plastid nucleoid,
AT1G06380.1,"Ribosomal protein L1p/L10e family; FUNCTIONS IN: RNA binding; INVOLVED IN: RNA processing; LOCATED IN: chloroplast, chloroplast envelope; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein L1 (InterPro:IPR002143); BEST Arabidopsis thaliana protein match is: Ribosomal protein L1p/L10e family (TAIR:AT2G42650.1); Has 1018 Blast hits to 1018 proteins in 280 species: Archae - 3; Bacteria - 0; Metazoa - 406; Fungi - 260; Plants - 220; Viruses - 0; Other Eukaryotes - 129 (source: NCBI BLink).",weakly similar to 60S ribosomal protein L10a. ,plastid stroma,
AT1G06430.1,FTSH protease 8 ,FtsH8 (B-type) (FtsH1-2-5-8 complex),thylakoid-integral,thylakoid membrane (sensu Viridiplantae) & chloroplast
AT1G06680.1,photosystem II subunit P-1 ,PsbP-1 OEC23 Tat lTP (model with cTP),thylakoid-peripheral-lumenal-side,thylakoid membrane (sensu Viridiplantae) & thylakoid lumen (sensu Viridiplantae) & thylakoid (sensu Viridiplantae) & extrinsic to membrane
AT1G06680.2,Encodes a 23 kD extrinsic protein that is part of photosystem II and participates in the regulation of oxygen evolution. Phosphorylation of this protein is dependent on calcium.,PsbP-1 OEC23 Tat lTP (model without cTP),thylakoid-peripheral-lumenal-side,
AT1G06690.1,NAD(P)-linked oxidoreductase superfamily protein ,aldo/keto reductase ,plastoglobules,thylakoid membrane (sensu Viridiplantae)
AT1G06820.1,carotenoid isomerase ,carotenoid isomerase CRTISO,plastid,chloroplast
AT1G06950.1,translocon at the inner envelope membrane of chloroplasts 110 ,Tic110,envelope-inner-integral,chloroplast
AT1G07320.1,encodes a plastid ribosomal protein L4,50S ribosomal protein L4,plastid ribosome,thylakoid membrane (sensu Viridiplantae) & plastid large ribosomal subunit
AT1G07320.2,ribosomal protein L4 ,50S ribosomal protein L4,plastid ribosome,thylakoid membrane (sensu Viridiplantae) & plastid large ribosomal subunit
AT1G07320.3,encodes a plastid ribosomal protein L4,50S ribosomal protein L4,plastid ribosome,thylakoid membrane (sensu Viridiplantae) & plastid large ribosomal subunit
AT1G07320.4,encodes a plastid ribosomal protein L4,50S ribosomal protein L4,plastid ribosome,thylakoid membrane (sensu Viridiplantae) & plastid large ribosomal subunit
AT1G07700.1,Thioredoxin superfamily protein ,thioredoxin family protein,plastid stroma,
