Accession,STD Annot.,Curated Loc.
AT1G01540.1,Protein kinase superfamily protein,plasma membrane
AT1G01540.2,Protein kinase superfamily protein,plasma membrane
AT1G01620.1,a member of the plasma membrane intrinsic protein subfamily PIP1. localizes to the plasma membrane and exhibits water transport activity in Xenopus oocyte. expressed ubiquitously and protein level decreases slightly during leaf development.,plasma membrane
AT1G01620.2,a member of the plasma membrane intrinsic protein subfamily PIP1. localizes to the plasma membrane and exhibits water transport activity in Xenopus oocyte. expressed ubiquitously and protein level decreases slightly during leaf development.,plasma membrane
AT1G02520.1,P-glycoprotein 11,plasma membrane
AT1G03870.1,fasciclin-like arabinogalactan-protein 9 (Fla9),plasma membrane
AT1G04110.1,Subtilase family protein,plasma membrane
AT1G04750.1,"Encodes vesicle-associated membrane protein 7B (VAMP7B, or VAMP721). Required for cell plate formation.",plasma membrane
AT1G04750.2,vesicle-associated membrane protein 721,plasma membrane
AT1G04760.1,vesicle-associated membrane protein 726,plasma membrane
AT1G05150.1,Calcium-binding tetratricopeptide family protein,plasma membrane
AT1G05960.1,ARM repeat superfamily protein,plasma membrane
AT1G05960.2,ARM repeat superfamily protein,plasma membrane
AT1G06700.1,"Protein kinase superfamily protein; FUNCTIONS IN: protein tyrosine kinase activity, protein kinase activity, kinase activity, ATP binding; INVOLVED IN: protein amino acid phosphorylation; LOCATED IN: plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Protein kinase, catalytic domain (InterPro:IPR000719), Tyrosine-protein kinase, active site (InterPro:IPR008266), Serine-threonine/tyrosine-protein kinase (InterPro:IPR001245), Protein kinase-like domain (InterPro:IPR011009); BEST Arabidopsis thaliana protein match is: Protein kinase superfamily protein (TAIR:AT2G30740.1); Has 112305 Blast hits to 111003 proteins in 4429 species: Archae - 103; Bacteria - 13312; Metazoa - 41447; Fungi - 9236; Plants - 31753; Viruses - 344; Other Eukaryotes - 16110 (source: NCBI BLink).",plasma membrane
AT1G06700.2,"Protein kinase superfamily protein; FUNCTIONS IN: protein tyrosine kinase activity, protein kinase activity, kinase activity, ATP binding; INVOLVED IN: protein amino acid phosphorylation; LOCATED IN: plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Protein kinase, catalytic domain (InterPro:IPR000719), Tyrosine-protein kinase, active site (InterPro:IPR008266), Serine-threonine/tyrosine-protein kinase (InterPro:IPR001245), Protein kinase-like domain (InterPro:IPR011009); BEST Arabidopsis thaliana protein match is: Protein kinase superfamily protein (TAIR:AT2G30740.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",plasma membrane
AT1G06840.1,Leucine-rich repeat protein kinase family protein,plasma membrane
AT1G08420.1,BRI1 suppressor 1 (BSU1)-like 2,plasma membrane
AT1G08420.2,BRI1 suppressor 1 (BSU1)-like 2,plasma membrane
AT1G09630.1,RAB GTPase 11C,plasma membrane
AT1G11260.1,sugar transporter 1,plasma membrane
AT1G11310.1,"A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resistance locus o (MLO) protein. The Arabidopsis genome contains 15 genes encoding MLO proteins, with localization in plasma membrane. Phylogenetic analysis revealed four clades of closely-related AtMLO genes. ATMLO2 belongs to the clade IV, with AtMLO3, AtMLO6 and AtMLO12. The gene is expressed during early seedling growth, in roots, in vascular system of cotyledons and young leaves,and in fruit abscission zone; it was not expressed in anthers and pollen, as shown by GUS activity patterns. The expression of several phylogenetically closely-related AtMLO genes showed similar or overlapping tissue specificity and analogous responsiveness to external stimuli, suggesting functional redundancy, co-function, or antagonistic function(s). mlo resistance in A. thaliana does not involve the signaling molecules ethylene, jasmonic acid or salicylic acid, but requires a syntaxin, glycosyl hydrolase and ABC transporter.",plasma membrane
AT1G11310.2,"A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resistance locus o (MLO) protein. The Arabidopsis genome contains 15 genes encoding MLO proteins, with localization in plasma membrane. Phylogenetic analysis revealed four clades of closely-related AtMLO genes. ATMLO2 belongs to the clade IV, with AtMLO3, AtMLO6 and AtMLO12. The gene is expressed during early seedling growth, in roots, in vascular system of cotyledons and young leaves,and in fruit abscission zone; it was not expressed in anthers and pollen, as shown by GUS activity patterns. The expression of several phylogenetically closely-related AtMLO genes showed similar or overlapping tissue specificity and analogous responsiveness to external stimuli, suggesting functional redundancy, co-function, or antagonistic function(s). mlo resistance in A. thaliana does not involve the signaling molecules ethylene, jasmonic acid or salicylic acid, but requires a syntaxin, glycosyl hydrolase and ABC transporter.",plasma membrane
AT1G11330.1,S-locus lectin protein kinase family protein,plasma membrane
AT1G14460.1,"AAA-type ATPase family protein; FUNCTIONS IN: nucleoside-triphosphatase activity, DNA binding, DNA-directed DNA polymerase activity, nucleotide binding, ATP binding; INVOLVED IN: DNA replication; LOCATED IN: plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: ATPase, AAA-type, core (InterPro:IPR003959), ATPase, AAA+ type, core (InterPro:IPR003593), DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal (InterPro:IPR008921), DNA polymerase III, subunit gamma/ tau (InterPro:IPR012763); BEST Arabidopsis thaliana protein match is: AAA-type ATPase family protein (TAIR:AT2G02480.1); Has 16118 Blast hits to 16088 proteins in 2833 species: Archae - 487; Bacteria - 9881; Metazoa - 404; Fungi - 514; Plants - 302; Viruses - 52; Other Eukaryotes - 4478 (source: NCBI BLink).",plasma membrane
AT1G15400.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G80180.1); Has 82 Blast hits to 82 proteins in 16 species: Archae - 0; Bacteria - 4; Metazoa - 0; Fungi - 0; Plants - 75; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink).,plasma membrane
AT1G15400.2,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G80180.1); Has 82 Blast hits to 82 proteins in 16 species: Archae - 0; Bacteria - 4; Metazoa - 0; Fungi - 0; Plants - 75; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink).,plasma membrane
AT1G15400.3,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G80180.1); Has 84 Blast hits to 84 proteins in 17 species: Archae - 0; Bacteria - 6; Metazoa - 0; Fungi - 0; Plants - 75; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink).,plasma membrane
AT1G15690.1,Inorganic H pyrophosphatase family protein,vacuole-tonoplast; plasma membrane
AT1G15690.2,Inorganic H pyrophosphatase family protein,vacuole-tonoplast; plasma membrane
AT1G15990.1,cyclic nucleotide gated channel 7,plasma membrane
AT1G16860.1,Ubiquitin-specific protease family C19-related protein,plasma membrane
AT1G17620.1,"Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Late embryogenesis abundant protein, group 2 (InterPro:IPR004864); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G11890.1); Has 824 Blast hits to 823 proteins in 28 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 824; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",plasma membrane
AT1G18180.1,Protein of unknown function (DUF1295),plasma membrane
AT1G18670.1,Protein kinase superfamily protein,plasma membrane
AT1G19870.1,IQ-domain 32,plasma membrane
AT1G21880.1,Encodes a lysin-motif protein mediating bacterial peptidoglycan sensing and immunity to bacterial infection. Induction of chitin-responsive genes by chitin treatment is not blocked in the mutant.,plasma membrane
AT1G21880.2,lysm domain GPI-anchored protein 1 precursor,plasma membrane
AT1G22280.1,"Encodes a phytochrome-associated protein, PAPP2C (phytochrome-associated protein phosphatase type 2C). PAPP2C interacts in the nucleus with phyA (phytochrome A) and phyB. Functions as a regulator of phytochrome-interacting factor PIF3 by dephosphorylating phytochromes in the nucleus.",plasma membrane
AT1G22280.2,phytochrome-associated protein phosphatase type 2C,plasma membrane
AT1G22280.3,"Encodes a phytochrome-associated protein, PAPP2C (phytochrome-associated protein phosphatase type 2C). PAPP2C interacts in the nucleus with phyA (phytochrome A) and phyB. Functions as a regulator of phytochrome-interacting factor PIF3 by dephosphorylating phytochromes in the nucleus.",plasma membrane
AT1G22710.1,sucrose-proton symporter 2,plasma membrane
