"","Locus","Description","otherName"
"818","AT2G18280","Member of TLP family The mRNA is cell-to-cell mobile.","ATTLP2; TLP2; TUBBY LIKE PROTEIN 2"
"668","AT5G48870","SAD1 encodes a polypeptide similar to multifunctional Sm-like snRNP proteins that are required for mRNA splicing, export, and degradation. Mutation in this gene increases plant sensitivity to drought stress and ABA in seed germination, root growth, and the expression of some stress-responsive genes.","ATLSM5; ATSAD1; LSM5; SAD1; SM-LIKE 5; SUPERSENSITIVE TO ABA AND DROUGHT 1"
"108","AT5G35180","ENHANCED DISEASE RESISTANCE protein (DUF1336);(source:Araport11)",""
"496","AT5G55660","DEK domain-containing chromatin associated protein;(source:Araport11)",""
"197","AT1G55930","CBS domain-containing protein / transporter associated domain-containing protein;(source:Araport11)",""
"347","AT3G46980","Encodes an inorganic phosphate transporter (PHT4;3).","PHOSPHATE TRANSPORTER 4;3; PHT4;3"
"865","AT5G43470","Confers resistance to Peronospora parasitica. In arabidopsis ecotype Dijon-17, HRT-mediated signaling is dependent on light for the induction of  hypersensitive response and resistance to turnip crinkle virus.",""
"391","AT5G49970","encodes the bifunctional pyridoxine (pyridoxamine) 5?-phosphate oxidase (PPOX)(EC 1.4.3.5) that is involved in the formation of pyridoxal 5'-phosphate (member of the vitamin B6 group). NAD(P)HX epimerase (AT5G49970) interconverts the two epimers of NAD(P)HX.","ATPPOX; HOMOLOG OF YEAST PYRIDOXINE AUXOTROPHY 3; PDX3; PPOX; PYRIDOXIN (PYRODOXAMINE) 5'-PHOSPHATE OXIDASE"
"764","AT5G18660","Encodes a protein with 3,8-divinyl protochlorophyllide a 8-vinyl reductase activity. Mutants accumulate divinyl chlorophyll rather than monovinyl chlorophyll.","3,8-DIVINYL PROTOCHLOROPHYLLIDE A 8-VINYL REDUCTASE; DVR; PALE-GREEN AND CHLOROPHYLL B REDUCED 2; PCB2"
"797","AT5G28840","Encodes a protein with GDP-D-mannose 3',5'-epimerase activity.  The enzyme is involved in ascorbate biosynthesis. It catalyzes the conversion of GDP-D-mannose to GDP-L-galactose.","GDP-D-MANNOSE 3',5'-EPIMERASE; GME"
"307","AT5G57110","Arabidopsis-autoinhibited Ca2+ -ATPase, isoform 8, contains all of the characteristic motifs of Ca2+ -transporting P-type Ca2+ -ATPases and is localized to the plasma membrane.",""
"482","AT5G28500","rubisco accumulation factor-like protein;(source:Araport11)",""
"31","AT1G32200","Encodes a chloroplast glycerol-3-phosphate acyltransferase.Involved in the biosynthesis of chloroplast phosphatidylglycerol.","ACT1; ACYLTRANSFERASE 1; ATS1"
"337","AT5G61170","Ribosomal protein S19e family protein;(source:Araport11)",""
"492","AT5G67030","Encodes a single copy zeaxanthin epoxidase gene that functions in first step of the biosynthesis of the abiotic stress hormone abscisic acid (ABA). Mutants in this gene are unable to express female sterility in response to beta-aminobutyric acid, as wild type plants do.","ABA DEFICIENT 1; ABA1; ARABIDOPSIS THALIANA ABA DEFICIENT 1; ARABIDOPSIS THALIANA ZEAXANTHIN EPOXIDASE; ATABA1; ATZEP; IBS3; IMPAIRED IN BABA-INDUCED STERILITY 3; LOS6; LOW EXPRESSION OF OSMOTIC STRESS-RESPONSIVE GENES 6; NON-PHOTOCHEMICAL QUENCHING 2; NPQ2; ZEAXANTHIN EPOXIDASE; ZEP"
"841","AT5G15070","Encodes a functional VIP1/PPIP5K-type ATP-grasp kinase that is involved in both InsP6 to InsP7 conversion and InsP7 to InsP8 conversion. It is the minor isoform in plants and is expressed in pollen.",""
"103","AT1G08530","chitinase-like protein;(source:Araport11)",""
"154","AT5G14660","Encodes a peptide deformylase PDF1B.  The crystal structure has been determined at a resolution of 0.24 nm (Biochem J, 2008, vol 413:417-427).","ATDEF2; DEF2; PDF1B; PEPTIDE DEFORMYLASE 1B"
"146","AT5G63180","Pectin lyase-like superfamily protein;(source:Araport11)",""
"661","AT5G20090","MPC1 negatively regulates ABA enhanced slow anion channel function during stomatal closure.","ATMPC1; MITOCHONDRIAL PYRUVATE CARRIER 1; MPC1"
"213","AT5G25140","putative cytochrome P450","CYTOCHROME P450, FAMILY 71, SUBFAMILY B, POLYPEPTIDE 13; CYP71B13"
"689","AT5G43940","Encodes a glutathione-dependent formaldehyde dehydrogenase (also known as class III type alcohol dehydrogenase) reduces S-nitrosoglutathione (GSNO), the condensation product of glutathione and NO, that is a naturally occurring NO reservoir and also a reactive nitrogen intermediate. Gene expression is reduced by wounding and induced by salicylic acid. Is required for the acclimation of plants to high temperature and for fertility.","ADH2; ALCOHOL DEHYDROGENASE 2; ATGSNOR1; GSNOR; HOT5; PAR2; PARAQUAT RESISTANT 2; S-NITROSOGLUTATHIONE REDUCTASE; SENSITIVE TO HOT TEMPERATURES 5"
"448","AT5G59870","Encodes HTA6, a histone H2A protein.","H2A.W.6; HISTONE H2A 6; HTA6"
"789","AT5G19040","Encodes cytokinin synthase.",""
"620","AT5G46180","Encodes an ornithine delta-aminotransferase that is transcriptionally up-regulated in young seedlings and in response to salt stress. It is unlikely to play a role in salt-stress-induced proline accumulation, however, it appears to participate in arginine and ornithine catabolism.","DELTA-OAT; ORNITHINE-DELTA-AMINOTRANSFERASE"
"318","AT5G13630","Encodes magnesium chelatase involved in plastid-to-nucleus signal transduction.","ABA-BINDING PROTEIN; ABAR; CCH; CCH1; CHLH; CONDITIONAL CHLORINA; GENOMES UNCOUPLED 5; GUN5; H SUBUNIT OF MG-CHELATASE"
