Accession,STD Annot.,Curated Loc.
AT1G03220.1,Eukaryotic aspartyl protease family protein,cell wall
AT1G05260.1,Peroxidase superfamily protein,cell wall
AT1G54040.1,"Epithiospecifier protein, interacts with WRKY53. Involved in pathogen resistance and leaf senescence.",cell wall
AT1G54040.2,"Epithiospecifier protein, interacts with WRKY53. Involved in pathogen resistance and leaf senescence.",cell wall
AT1G68560.1,alpha-xylosidase 1,cell wall
AT1G71695.1,Peroxidase superfamily protein,cell wall
AT1G76160.1,SKU5 similar 5,cell wall
AT2G05520.1,"Encodes a glycine-rich protein that is expressed mainly in stems and leaves. mRNA levels are upregulated in response to ABA, salicylic acid and ethylene but downregulated in response to dessication.",peroxisome; cell wall
AT2G27920.1,serine carboxypeptidase-like 51,cell wall
AT2G27920.2,"serine carboxypeptidase-like 51 (SCPL51); FUNCTIONS IN: serine-type carboxypeptidase activity; INVOLVED IN: proteolysis; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Peptidase S10, serine carboxypeptidase (InterPro:IPR001563), Peptidase S10, serine carboxypeptidase, active site (InterPro:IPR018202); BEST Arabidopsis thaliana protein match is: serine carboxypeptidase-like 48 (TAIR:AT3G45010.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",cell wall
AT2G27920.3,"serine carboxypeptidase-like 51 (SCPL51); FUNCTIONS IN: serine-type carboxypeptidase activity; INVOLVED IN: proteolysis; LOCATED IN: mitochondrion; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Peptidase S10, serine carboxypeptidase (InterPro:IPR001563), Peptidase S10, serine carboxypeptidase, active site (InterPro:IPR018202); BEST Arabidopsis thaliana protein match is: serine carboxypeptidase-like 48 (TAIR:AT3G45010.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",cell wall
AT3G10740.1,alpha-L-arabinofuranosidase 1,plasma membrane; cell wall
AT3G45050.4,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 35333 Blast hits to 34131 proteins in 2444 species,cell wall
AT3G49110.1,Class III peroxidase Perx33. Expressed in roots. Located in the cell wall. Involved in cell elongation. Expression activated by light. May play a role in generating H2O2 during defense response.,cell wall
AT3G49120.1,"Class III peroxidase Perx34. Expressed in roots, leaves and stems. Located in the cell wall. Involved in cell elongation. Expression activated by light. May play a role in generating H2O2 during defense response.",cell wall
AT4G12420.1,"Encodes a protein of unknown function involved in directed root tip growth. It is a member of 19-member gene family and is distantly related structurally to the multiple-copper oxidases ascorbate oxidase and laccase, though it lacks the copper-binding domains. The protein is glycosylated and GPI-anchored. It is localized to the plasma membrane and the cell wall. The gene is expressed most strongly in expanding tissues.",plasma membrane; cell wall
AT4G12420.2,Cupredoxin superfamily protein,plasma membrane; cell wall
AT4G30270.1,xyloglucan endotransglucosylase/hydrolase 24,cell wall
AT4G35350.1,xylem cysteine peptidase 1,cell wall
AT4G35350.2,xylem cysteine peptidase 1,cell wall
AT5G08370.1,alpha-galactosidase 2,cell wall
AT5G08370.2,"alpha-galactosidase 2 (AGAL2); FUNCTIONS IN: alpha-galactosidase activity, hydrolase activity, hydrolyzing O-glycosyl compounds, catalytic activity; INVOLVED IN: positive regulation of flower development, leaf morphogenesis; LOCATED IN: plant-type cell wall; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Aldolase-type TIM barrel (InterPro:IPR013785), Glycoside hydrolase, family 27 (InterPro:IPR002241), Glycoside hydrolase, clan GH-D (InterPro:IPR000111), Glycoside hydrolase, catalytic core (InterPro:IPR017853); BEST Arabidopsis thaliana protein match is: alpha-galactosidase 1 (TAIR:AT5G08380.1); Has 1586 Blast hits to 1573 proteins in 339 species: Archae - 4; Bacteria - 587; Metazoa - 332; Fungi - 271; Plants - 223; Viruses - 0; Other Eukaryotes - 169 (source: NCBI BLink).",cell wall
AT5G45280.1,Pectinacetylesterase family protein; FUNCTIONS IN: carboxylesterase activity; INVOLVED IN: biological_process unknown; LOCATED IN: cell wall; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Pectinacetylesterase (InterPro:IPR004963); BEST Arabidopsis thaliana protein match is: Pectinacetylesterase family protein (TAIR:AT4G19410.2); Has 552 Blast hits to 548 proteins in 96 species: Archae - 2; Bacteria - 42; Metazoa - 115; Fungi - 0; Plants - 290; Viruses - 0; Other Eukaryotes - 103 (source: NCBI BLink).,cell wall
AT5G45280.2,Pectinacetylesterase family protein; FUNCTIONS IN: carboxylesterase activity; INVOLVED IN: biological_process unknown; LOCATED IN: cell wall; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Pectinacetylesterase (InterPro:IPR004963); BEST Arabidopsis thaliana protein match is: Pectinacetylesterase family protein (TAIR:AT4G19410.1); Has 566 Blast hits to 560 proteins in 97 species: Archae - 2; Bacteria - 42; Metazoa - 118; Fungi - 0; Plants - 299; Viruses - 0; Other Eukaryotes - 105 (source: NCBI BLink).,cell wall
