Accession,STD Annot.,Curated Loc.
AT1G11910.1,aspartic proteinase A1,vacuole
AT1G12240.1,Encodes a vacuolar invertase betaFruct4. betaFruct4 is transported from the endoplasmic reticulum through the intermediate compartments as a membrane protein. The N-terminal cytoplasmic domain contains multiple sequence motifs that are involved at various stages in the trafficking of betaFruct4 from the ER to the central vacuole.,vacuole
AT1G12840.1,vacuolar ATP synthase subunit C (VATC) / V-ATPase C subunit / vacuolar proton pump C subunit (DET3),vacuole
AT1G15690.1,Inorganic H pyrophosphatase family protein,vacuole-tonoplast; plasma membrane
AT1G15690.2,Inorganic H pyrophosphatase family protein,vacuole-tonoplast; plasma membrane
AT1G16010.1,Transmembrane magnesium transporter. One of nine family members.,vacuole-tonoplast
AT1G16010.2,Transmembrane magnesium transporter. One of nine family members.,vacuole-tonoplast
AT1G16010.3,magnesium transporter 2,vacuole-tonoplast
AT1G16820.1,"vacuolar ATP synthase catalytic subunit-related / V-ATPase-related / vacuolar proton pump-related; LOCATED IN: plasma membrane, vacuole; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 8 growth stages; BEST Arabidopsis thaliana protein match is: vacuolar ATP synthase subunit A (TAIR:AT1G78900.2); Has 151 Blast hits to 150 proteins in 46 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 137; Viruses - 0; Other Eukaryotes - 14 (source: NCBI BLink).",vacuole-tonoplast
AT1G16820.2,vacuolar ATP synthase catalytic subunit-related / V-ATPase-related / vacuolar proton pump-related; EXPRESSED IN: 16 plant structures; EXPRESSED DURING: 8 growth stages; BEST Arabidopsis thaliana protein match is: vacuolar ATP synthase subunit A (TAIR:AT1G78900.2).,vacuole-tonoplast
AT1G20260.1,"ATPase, V1 complex, subunit B protein",vacuole
AT1G20260.2,"(VACUOLAR ATP SYNTHASE SUBUNIT B3); hydrogen ion transmembrane transporter/ hydrogen ion transporting ATP synthase, rotational mechanism / hydrogen ion transporting ATPase, rotational mechanism / hydrogen-exporting ATPase, phosphorylative mechanism",vacuole
AT1G22740.1,GTP-binding protein Rab7,vacuole
AT1G32410.1,Vacuolar protein sorting 55 (VPS55) family protein; FUNCTIONS IN: transporter activity; INVOLVED IN: transport; LOCATED IN: vacuole; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Vacuolar protein sorting 55 (InterPro:IPR007262); BEST Arabidopsis thaliana protein match is: Vacuolar protein sorting 55 (VPS55) family protein (TAIR:AT3G11530.2); Has 430 Blast hits to 430 proteins in 163 species: Archae - 0; Bacteria - 0; Metazoa - 181; Fungi - 137; Plants - 85; Viruses - 0; Other Eukaryotes - 27 (source: NCBI BLink).,vacuole
AT1G32410.2,Vacuolar protein sorting 55 (VPS55) family protein; FUNCTIONS IN: transporter activity; INVOLVED IN: transport; LOCATED IN: vacuole; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Vacuolar protein sorting 55 (InterPro:IPR007262); BEST Arabidopsis thaliana protein match is: Vacuolar protein sorting 55 (VPS55) family protein (TAIR:AT3G11530.2); Has 430 Blast hits to 430 proteins in 163 species: Archae - 0; Bacteria - 0; Metazoa - 181; Fungi - 137; Plants - 85; Viruses - 0; Other Eukaryotes - 27 (source: NCBI BLink).,vacuole
AT1G32410.3,Vacuolar protein sorting 55 (VPS55) family protein; CONTAINS InterPro DOMAIN/s: Vacuolar protein sorting 55 (InterPro:IPR007262); BEST Arabidopsis thaliana protein match is: Vacuolar protein sorting 55 (VPS55) family protein (TAIR:AT3G11530.2); Has 430 Blast hits to 430 proteins in 163 species: Archae - 0; Bacteria - 0; Metazoa - 181; Fungi - 137; Plants - 85; Viruses - 0; Other Eukaryotes - 27 (source: NCBI BLink).,vacuole
AT1G32410.4,Vacuolar protein sorting 55 (VPS55) family protein; CONTAINS InterPro DOMAIN/s: Vacuolar protein sorting 55 (InterPro:IPR007262); BEST Arabidopsis thaliana protein match is: Vacuolar protein sorting 55 (VPS55) family protein (TAIR:AT3G11530.2); Has 430 Blast hits to 430 proteins in 163 species: Archae - 0; Bacteria - 0; Metazoa - 181; Fungi - 137; Plants - 85; Viruses - 0; Other Eukaryotes - 27 (source: NCBI BLink).,vacuole
AT1G32410.5,Vacuolar protein sorting 55 (VPS55) family protein,vacuole
AT1G47128.1,Granulin repeat cysteine protease family protein,vacuole
AT1G48550.1,"Vacuolar protein sorting-associated protein 26; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: intracellular protein transport, vacuolar transport, retrograde transport, endosome to Golgi; LOCATED IN: retromer complex; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Vacuolar protein sorting-associated protein 26 (InterPro:IPR005377); Has 299 Blast hits to 296 proteins in 113 species: Archae - 0; Bacteria - 0; Metazoa - 125; Fungi - 26; Plants - 78; Viruses - 0; Other Eukaryotes - 70 (source: NCBI BLink).",vacuole
AT1G53210.1,sodium/calcium exchanger family protein / calcium-binding EF hand family protein,vacuole
AT1G61890.1,"MATE efflux family protein; FUNCTIONS IN: antiporter activity, drug transmembrane transporter activity, transporter activity; INVOLVED IN: response to karrikin; LOCATED IN: membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Multi antimicrobial extrusion protein MatE (InterPro:IPR002528); BEST Arabidopsis thaliana protein match is: MATE efflux family protein (TAIR:AT1G11670.1); Has 9516 Blast hits to 9487 proteins in 1915 species: Archae - 228; Bacteria - 6498; Metazoa - 145; Fungi - 328; Plants - 1371; Viruses - 0; Other Eukaryotes - 946 (source: NCBI BLink).",vacuole-tonoplast
AT1G62710.1,Encodes a vacuolar processing enzyme belonging to a novel group of cysteine proteases that is expressed specifically in seeds and is essential for the proper processing of storage proteins.,vacuole
AT1G64200.1,vacuolar H+-ATPase subunit E isoform 3,vacuole
AT1G69840.1,"SPFH/Band 7/PHB domain-containing membrane-associated protein family; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane, chloroplast, vacuole; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Band 7 protein (InterPro:IPR001107); BEST Arabidopsis thaliana protein match is: SPFH/Band 7/PHB domain-containing membrane-associated protein family (TAIR:AT5G62740.1); Has 5669 Blast hits to 5668 proteins in 1821 species: Archae - 158; Bacteria - 3805; Metazoa - 307; Fungi - 277; Plants - 271; Viruses - 5; Other Eukaryotes - 846 (source: NCBI BLink).",vacuole
AT1G69840.2,"SPFH/Band 7/PHB domain-containing membrane-associated protein family; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane, chloroplast, vacuole; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Band 7 protein (InterPro:IPR001107); BEST Arabidopsis thaliana protein match is: SPFH/Band 7/PHB domain-containing membrane-associated protein family (TAIR:AT5G62740.1); Has 5669 Blast hits to 5668 proteins in 1821 species: Archae - 158; Bacteria - 3805; Metazoa - 307; Fungi - 277; Plants - 271; Viruses - 5; Other Eukaryotes - 846 (source: NCBI BLink).",vacuole
AT1G69840.3,"SPFH/Band 7/PHB domain-containing membrane-associated protein family; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane, vacuole; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Band 7 protein (InterPro:IPR001107); BEST Arabidopsis thaliana protein match is: SPFH/Band 7/PHB domain-containing membrane-associated protein family (TAIR:AT5G62740.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",vacuole
AT1G69840.4,"SPFH/Band 7/PHB domain-containing membrane-associated protein family; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane, vacuole; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Band 7 protein (InterPro:IPR001107); BEST Arabidopsis thaliana protein match is: SPFH/Band 7/PHB domain-containing membrane-associated protein family (TAIR:AT5G62740.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",vacuole
AT1G69840.5,SPFH/Band 7/PHB domain-containing membrane-associated protein family; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Band 7 protein (InterPro:IPR001107); BEST Arabidopsis thaliana protein match is: SPFH/Band 7/PHB domain-containing membrane-associated protein family (TAIR:AT5G62740.1); Has 5669 Blast hits to 5668 proteins in 1821 species: Archae - 158; Bacteria - 3805; Metazoa - 307; Fungi - 277; Plants - 271; Viruses - 5; Other Eukaryotes - 846 (source: NCBI BLink).,vacuole
