Accession,STD Annot.,Curated Loc.
AT1G02410.1,cytochrome c oxidase assembly protein CtaG / Cox11 family,mitochondria
AT1G03090.1,"methylcrotonyl-CoA carboxylase alpha chain, mitochondrial / 3-methylcrotonyl-CoA carboxylase 1 (MCCA)",mitochondria
AT1G03090.2,"methylcrotonyl-CoA carboxylase alpha chain, mitochondrial / 3-methylcrotonyl-CoA carboxylase 1 (MCCA)",mitochondria
AT1G03860.1,prohibitin 2,mitochondria
AT1G04630.1,maternal effect embryo arrest 4 (MEE4); CONTAINS InterPro DOMAIN/s: GRIM-19 (InterPro:IPR009346); BEST Arabidopsis thaliana protein match is: GRIM-19 protein (TAIR:AT2G33220.1); Has 332 Blast hits to 332 proteins in 145 species: Archae - 0; Bacteria - 0; Metazoa - 162; Fungi - 83; Plants - 65; Viruses - 0; Other Eukaryotes - 22 (source: NCBI BLink).,mitochondria
AT1G04640.1,"Lipoyltransferase, located in mitochondria but not found in chloroplasts",mitochondria
AT1G04640.2,lipoyltransferase 2,mitochondria
AT1G06790.1,RNA polymerase Rpb7 N-terminal domain-containing protein,mitochondria
AT1G07180.1,alternative NAD(P)H dehydrogenase 1,peroxisome; mitochondria
AT1G07510.1,FTSH protease 10,mitochondria
AT1G07615.1,GTP-binding protein Obg/CgtA,mitochondria
AT1G07620.1,"ATOBGM; FUNCTIONS IN: magnesium ion binding, GTP binding, GTPase activity; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: GTP-binding protein Obg/CgtA (InterPro:IPR014100); BEST Arabidopsis thaliana protein match is: Protein of unknown function (DUF3741) (TAIR:AT5G02390.1); Has 561 Blast hits to 511 proteins in 87 species: Archae - 0; Bacteria - 20; Metazoa - 47; Fungi - 31; Plants - 219; Viruses - 2; Other Eukaryotes - 242 (source: NCBI BLink).",mitochondria
AT1G08130.1,DNA ligase 1,mitochondria; cytosol
AT1G08480.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, plasma membrane, plastid, vacuole; EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 15 growth stages; Has 39 Blast hits",mitochondria
AT1G09300.1,Metallopeptidase M24 family protein,mitochondria
AT1G09300.2,Metallopeptidase M24 family protein,mitochondria
AT1G11870.1,Seryl-tRNA synthetase,plastid stroma; mitochondria
AT1G11870.2,Seryl-tRNA synthetase targeted to chloroplasts and mitochondria. Its inactivation causes developmental arrest of chloroplasts and mitochondria in Nicotiana benthamiana.,plastid stroma; mitochondria
AT1G11870.3,Seryl-tRNA synthetase targeted to chloroplasts and mitochondria. Its inactivation causes developmental arrest of chloroplasts and mitochondria in Nicotiana benthamiana.,plastid stroma; mitochondria
AT1G13270.1,methionine aminopeptidase 1B,plastid stroma; mitochondria
AT1G13270.2,methionine aminopeptidase 1B,plastid stroma; mitochondria
AT1G13900.1,Purple acid phosphatases superfamily protein,mitochondria; envelope-outer
AT1G14270.1,CAAX amino terminal protease family protein,plastid; mitochondria
AT1G14270.2,"CAAX amino terminal protease family protein; INVOLVED IN: proteolysis; LOCATED IN: endomembrane system, membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Abortive infection protein (InterPro:IPR003675); BEST Arabidopsis thaliana protein match is: CAAX amino terminal protease family protein (TAIR:AT5G60750.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",plastid; mitochondria
