Accession,STD Annot.,Curated Loc.
AT1G02130.1,RAS 5,golgi
AT1G10290.1,dynamin-like protein 6,golgi
AT1G30630.1,Coatomer epsilon subunit,golgi
AT1G55620.1,chloride channel F,golgi
AT1G55620.2,chloride channel F,golgi
AT1G63120.1,RHOMBOID-like 2,golgi
AT2G04410.1,"RPM1-interacting protein 4 (RIN4) family protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: RPM1-interacting protein 4, defence response (InterPro:IPR008700); BEST Arabidopsis thaliana protein match is: RPM1-interacting protein 4 (RIN4) family protein (TAIR:AT5G55850.3); Has 281 Blast hits to 280 proteins in 36 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 279; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).",golgi
AT2G14720.1,encodes a vacuolar sorting receptor,vacuole; golgi
AT2G14720.2,vacuolar sorting receptor 4,vacuole-tonoplast; golgi
AT2G24765.1,ADP-ribosylation factor 3,golgi
AT2G24765.2,ADP-ribosylation factor 3,golgi
AT2G28520.1,vacuolar proton ATPase A1,golgi
AT2G29050.1,"RHOMBOID-like 1 (RBL1); FUNCTIONS IN: serine-type endopeptidase activity; LOCATED IN: Golgi apparatus; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 11 growth stages; CONTAINS InterPro DOMAIN/s: Peptidase S54, rhomboid (InterPro:IPR002610); BEST Arabidopsis thaliana protein match is: RHOMBOID-like protein 4 (TAIR:AT3G53780.2); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",golgi
AT2G29050.2,RHOMBOID-like 1,golgi
AT2G47170.1,"Gene encoding ADP-ribosylation factor and similar to other ARFs and ARF-like proteins. Members of this family are known to be essential for vesicle coating and uncoating and functions in GTP-binding. The gene is shown to play a role in cell division, cell expansion and cellulose production using antisense construct.",golgi
AT3G02230.1,reversibly glycosylated polypeptide 1,golgi
AT3G07100.1,Sec23/Sec24 protein transport family protein,golgi
AT4G19640.1,Ras-related small GTP-binding family protein,vacuole; golgi; ER
AT5G03520.1,"RAB GTPase homolog 8C (RAB8C); FUNCTIONS IN: GTP binding; INVOLVED IN: protein transport, small GTPase mediated signal transduction; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ras GTPase (InterPro:IPR001806), Small GTP-binding protein (InterPro:IPR005225), Small GTPase (InterPro:IPR020851), Ras (InterPro:IPR013753), Ras small GTPase, Rab type (InterPro:IPR003579); BEST Arabidopsis thaliana protein match is: RAB GTPase homolog E1E (TAIR:AT3G09900.1); Has 29771 Blast hits to 29709 proteins in 824 species: Archae - 21; Bacteria - 191; Metazoa - 15611; Fungi - 4242; Plants - 3476; Viruses - 20; Other Eukaryotes - 6210 (source: NCBI BLink).",plasma membrane; golgi; cytosol
AT5G03520.2,"RAB GTPase homolog 8C (RAB8C); FUNCTIONS IN: GTP binding; INVOLVED IN: protein transport, small GTPase mediated signal transduction; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ras GTPase (InterPro:IPR001806), Small GTP-binding protein (InterPro:IPR005225), Small GTPase (InterPro:IPR020851), Ras (InterPro:IPR013753), Ras small GTPase, Rab type (InterPro:IPR003579); BEST Arabidopsis thaliana protein match is: RAB GTPase homolog E1E (TAIR:AT3G09900.1); Has 25713 Blast hits to 25688 proteins in 729 species: Archae - 2; Bacteria - 99; Metazoa - 13473; Fungi - 3651; Plants - 2845; Viruses - 20; Other Eukaryotes - 5623 (source: NCBI BLink).",plasma membrane; golgi; cytosol
AT5G11710.1,ENTH/VHS family protein,vacuole; golgi; cytosol
AT5G15650.1,reversibly glycosylated polypeptide 2,plasma membrane; golgi
AT5G39510.1,Vesicle transport v-SNARE family protein,vacuole; golgi; extracellular
AT5G44370.1,phosphate transporter 4;6,golgi
