TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:1006229230	AT5G61910	AT5G61910.2	protein_coding	DCD (Development and Cell Death) domain protein;(source:Araport11)		 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, pollen tube cell, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1006229258	AT5G49970	AT5G49970.2	protein_coding	encodes the bifunctional pyridoxine (pyridoxamine) 5?-phosphate oxidase (PPOX)(EC 1.4.3.5) that is involved in the formation of pyridoxal 5'-phosphate (member of the vitamin B6 group). NAD(P)HX epimerase (AT5G49970) interconverts the two epimers of NAD(P)HX.	ATPPOX; PPOX; PYRIDOXIN (PYRODOXAMINE) 5'-PHOSPHATE OXIDASE	 cytosol, extracellular region, FMN binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NADH metabolic process, NADHX epimerase activity, NADP metabolic process, NADPHX epimerase activity, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, cytosol, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, metal ion binding, mitochondrion, oxidation-reduction process, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, pollen tube cell, pyridoxal metabolic process, pyridoxamine-phosphate oxidase activity, pyridoxine biosynthetic process, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1009021521	AT2G37860	AT2G37860.3	protein_coding	Encodes a protein involved in differential development of bundle sheath and mesophyll cell chloroplasts.	LCD1; LOWER CELL DENSITY 1; RE; RETICULATA	 chloroplast, chloroplast envelope, vascular leaf, plant callus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, bundle sheath, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast inner membrane, chloroplast organization, collective leaf structure, cotyledon, endoplasmic reticulum, flower, flower pedicel, flowering stage, guard cell, hydathode, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf development, leaf lamina base, mature plant embryo stage, mitochondrion, molecular function unknown, petal, petal differentiation and expansion stage, petiole, photoperiodism, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant organ development, plant sperm cell, plastid, pollen, response to reactive oxygen species, root, root meristem, root vascular system, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6530297900	AT5G35360	AT5G35360.3	protein_coding	Encodes biotin carboxylase subunit (CAC2).	ACETYL CO-ENZYME A CARBOXYLASE BIOTIN CARBOXYLASE SUBUNIT; CAC2	 chloroplast, ATP binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT cytosol, acetyl-CoA carboxylase activity, biotin carboxylase activity, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, fatty acid biosynthetic process, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, malonyl-CoA biosynthetic process, mature plant embryo stage, metal ion binding, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, root, rosette leaf, seed, seed development stage, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2125072	AT4G01100	AT4G01100.1	protein_coding	Adenine nucleotide transporter. Located in mitochondrion. Expressed in a broad range of tissues, but predominantly in root tips. Loss of function mutants exhibit reduced root growth and respiration.	ADENINE NUCLEOTIDE TRANSPORTER 1; ADNT1	 mitochondrion, vacuolar membrane, vascular leaf, plant callus, cultured plant cell, ADP transmembrane transporter activity, ADP transport, AMP transmembrane transporter activity, AMP transport, ATP transmembrane transporter activity, ATP transport, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, aerobic respiration, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrial inner membrane, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, pollen tube cell, root, root tip, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, transmembrane transport, transmembrane transporter activity, vacuolar membrane, vascular leaf, vascular leaf senescent stage	true
Gene:2151425	AT5G17610	AT5G17610.1	protein_coding	hypothetical protein;(source:Araport11)		 extracellular region, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, biological process unknown, carpel, cauline leaf, collective leaf structure, cotyledon, endoplasmic reticulum, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, molecular function unknown, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, pollen tube cell, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2179380	AT5G64460	AT5G64460.1	protein_coding	Phosphoglycerate mutase family protein;(source:Araport11)		 cytosol, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, biological process unknown, carpel, cauline leaf, collective leaf structure, cotyledon, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2180443	AT5G20630	AT5G20630.1	protein_coding	Encodes a germin-like protein. Its transcripts are more abundant in RNA from leaves collected in the evening, suggesting some kind of circadian regulation.	ARABIDOPSIS THALIANA GERMIN 3; ATGER3; GER3; GERMIN 3; GERMIN-LIKE PROTEIN 3; GLP3; GLP3A; GLP3B	 cell wall, extracellular region, nucleus, apoplast, cotyledon, vascular leaf, juvenile vascular leaf, stem, seedling development stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT oxalate oxidase activity, apoplast, carpel, cauline leaf, cell wall, collective leaf structure, cotyledon, extracellular matrix, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf apex, leaf lamina base, manganese ion binding, mature plant embryo stage, nucleus, nutrient reservoir activity, peptidyl-cysteine S-nitrosylation, petal, petal differentiation and expansion stage, petiole, phloem, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, response to cold, rosette leaf, secretory vesicle, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2165619	AT5G57290	AT5G57290.1	protein_coding	60S acidic ribosomal protein family;(source:Araport11)	ATP3B; P3B; RIBOSOMAL P3 PROTEIN B	 cytosol, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytosol, cytosolic ribosome, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, translational elongation, vascular leaf, vascular leaf senescent stage	true
Gene:2168062	AT5G59890	AT5G59890.1	protein_coding	actin depolymerizing factor 4 (ADF4) mRNA, complete cds	ACTIN DEPOLYMERIZING FACTOR 4; ADF4; ATADF4	 cytoplasm, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, actin binding, actin cytoskeleton, actin filament depolymerization, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, cytosol, defense response signaling pathway, resistance gene-dependent, defense response to bacterium, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
